"table","category","group","analysis","metric","old_value","new_value","difference","old_display","new_display"
"Table 6","Theoretical Foundation","Agnostic","ff4","pub_oos",104.562377325272,104.562377325272,-1.4210854715202e-14,"105","105"
"Table 6","Theoretical Foundation","Agnostic","ff4","pub_oos_se",7.37280183009323,21.7351216077523,14.362319777659,"7","22"
"Table 6","Theoretical Foundation","Agnostic","ff4","outperform",35.8676835700471,35.8676835700471,2.8421709430404e-14,"36","36"
"Table 6","Theoretical Foundation","Agnostic","ff4","outperform_se",7.85017833292244,23.5986083447187,15.7484300117962,"8","24"
"Table 6","Modeling Formalism","No Model","ff4","pub_oos",68.854212703114,68.8542127031141,2.8421709430404e-14,"69","69"
"Table 6","Modeling Formalism","No Model","ff4","pub_oos_se",3.40130401721766,8.08775330146517,4.68644928424751,"3","8"
"Table 6","Modeling Formalism","No Model","ff4","outperform",5.90942558772863,5.90942558772863,-8.88178419700125e-16,"6","6"
"Table 6","Modeling Formalism","No Model","ff4","outperform_se",3.58891710208677,8.98623352872687,5.3973164266401,"4","9"
"Table 6","Modeling Formalism","Stylized","ff4","pub_oos",50.3824636979923,50.3824636979923,-7.105427357601e-15,"50","50"
"Table 6","Modeling Formalism","Stylized","ff4","pub_oos_se",7.31521712172096,22.2223114596093,14.9070943378883,"7","22"
"Table 6","Modeling Formalism","Stylized","ff4","outperform",-13.0127040948512,-13.0127040948512,-7.105427357601e-15,"-13","-13"
"Table 6","Modeling Formalism","Stylized","ff4","outperform_se",9.13621733687168,15.5256860022239,6.38946866535223,"9","16"
"Table 6","Modeling Formalism","Dynamic or Quantitative","ff4","pub_oos",32.3964183546029,32.3964183546029,1.4210854715202e-14,"32","32"
"Table 6","Modeling Formalism","Dynamic or Quantitative","ff4","pub_oos_se",16.0976743391928,29.3423582520334,13.2446839128406,"16","29"
"Table 6","Modeling Formalism","Dynamic or Quantitative","ff4","outperform",-12.6308184117262,-12.6308184117262,7.105427357601e-15,"-13","-13"
"Table 6","Modeling Formalism","Dynamic or Quantitative","ff4","outperform_se",17.0860616470952,25.0335005293819,7.94743888228668,"17","25"
"Table 6","Overall","Overall","ff4","pub_oos",66.7775885586085,66.7775885586085,0,"67","67"
"Table 6","Overall","Overall","ff4","pub_oos_se",3.16251100537003,7.46172328412122,4.2992122787512,"3","7"
"Table 6","Overall","Overall","ff4","outperform",4.25668611523808,4.25668611523807,-3.5527136788005e-15,"4","4"
"Table 6","Overall","Overall","ff4","outperform_se",3.35128995081649,8.38983560395306,5.03854565313657,"3","8"
